Year,Month,Region,Model,Units_Sold,Avg_Price_EUR,Revenue_EUR,BEV_Share,Premium_Share,GDP_Growth,Fuel_Price_Index,Date
2018,January,Europe,3 Series,7822,47482.0,371404204.0,0.011,19.12,3.5,1.0,2018-01-01
2018,January,Europe,5 Series,10280,61685.0,634121800.0,0.019,19.12,3.5,1.0,2018-01-01
2018,January,Europe,X3,3105,58433.0,181434465.0,0.022,19.12,3.5,1.0,2018-01-01
2018,January,Europe,X5,7420,67955.0,504226100.0,0.021,19.12,3.5,1.0,2018-01-01
2018,January,Europe,X7,8474,92300.0,782150200.0,0.035,19.12,3.5,1.0,2018-01-01
2018,January,Europe,i4,10607,64082.0,679717774.0,0.035,19.12,3.5,1.0,2018-01-01
2018,January,Europe,iX,4805,73975.0,355449875.0,0.016,19.12,3.5,1.0,2018-01-01
2018,January,Europe,MINI,2554,43005.0,109834770.0,0.013,19.12,3.5,1.0,2018-01-01
2018,January,China,3 Series,3826,48068.0,183908168.0,0.021,17.6,2.37,1.02,2018-01-01
2018,January,China,5 Series,7498,62435.0,468137630.0,0.015,17.6,2.37,1.02,2018-01-01
2018,January,China,X3,10727,57363.0,615332901.0,0.014,17.6,2.37,1.02,2018-01-01
2018,January,China,X5,8298,68390.0,567500220.0,0.017,17.6,2.37,1.02,2018-01-01
2018,January,China,X7,9119,90034.0,821020046.0,0.02,17.6,2.37,1.02,2018-01-01
2018,January,China,i4,5369,64955.0,348743395.0,0.009,17.6,2.37,1.02,2018-01-01
2018,January,China,iX,3880,76461.0,296668680.0,0.007,17.6,2.37,1.02,2018-01-01
2018,January,China,MINI,6025,43893.0,264455325.0,0.031,17.6,2.37,1.02,2018-01-01
2018,January,USA,3 Series,9622,46337.0,445854614.0,0.01,20.49,0.82,0.97,2018-01-01
2018,January,USA,5 Series,3209,61076.0,195992884.0,0.004,20.49,0.82,0.97,2018-01-01
2018,January,USA,X3,7017,56379.0,395611443.0,0.007,20.49,0.82,0.97,2018-01-01
2018,January,USA,X5,10624,70112.0,744869888.0,0.011,20.49,0.82,0.97,2018-01-01
2018,January,USA,X7,7387,91698.0,677373126.0,0.026,20.49,0.82,0.97,2018-01-01
2018,January,USA,i4,7972,66561.0,530624292.0,0.029,20.49,0.82,0.97,2018-01-01
2018,January,USA,iX,8249,73502.0,606317998.0,0.011,20.49,0.82,0.97,2018-01-01
2018,January,USA,MINI,4706,43645.0,205393370.0,0.019,20.49,0.82,0.97,2018-01-01
2018,January,RestOfWorld,3 Series,10121,47485.0,480595685.0,-0.0,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,5 Series,6023,61028.0,367571644.0,0.031,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,X3,9390,58842.0,552526380.0,0.012,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,X5,6638,67206.0,446113428.0,0.012,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,X7,7252,93762.0,679962024.0,0.018,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,i4,3194,65790.0,210133260.0,0.01,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,iX,9412,74757.0,703612884.0,0.021,6.28,4.18,0.97,2018-01-01
2018,January,RestOfWorld,MINI,9570,42278.0,404600460.0,0.0,6.28,4.18,0.97,2018-01-01
2018,February,Europe,3 Series,5374,47597.0,255786278.0,0.023,15.6,4.48,0.98,2018-02-01
2018,February,Europe,5 Series,4933,60795.0,299901735.0,0.029,15.6,4.48,0.98,2018-02-01
2018,February,Europe,X3,5820,57663.0,335598660.0,0.03,15.6,4.48,0.98,2018-02-01
2018,February,Europe,X5,7687,70302.0,540411474.0,0.018,15.6,4.48,0.98,2018-02-01
2018,February,Europe,X7,9397,92680.0,870913960.0,0.028,15.6,4.48,0.98,2018-02-01
